名次,标的,得分,建议均线,均线来源,Δ盈亏,白名单,跨年轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
99,300033.SZ,28.11023622047244,EMA,compare,8051.140000000003,,16,5,3,60,612.3350000000004,56.237500000000004,1.1537408640765405,0,50,-18.8534,43.03924103520409,34.763948497854074,无近期,,-3742.14,1190,422.86,0,15230,-9426.71
100,002736.SZ,27.55905511811023,SMA,compare,-26896,,22,5,2,40,1293.1666666666667,54.52272727272727,1.2801689896728534,0.18181818181818185,59.09090909090909,-17.566499999999998,20.1055841976122,48.927038626609445,无近期,,-6718,-287,-6532,16953,4343,0
101,601229.SH,27.48031496062992,EMA,compare,261,,25,6,2,33.33333333333333,390.6666666666667,64.00800000000001,1.1362711470263356,0.36,64,-9.69,19.648213308110893,60.08583690987125,无近期,,-1756,-246,-278,7031,2438,-4845
102,600588.SH,27.362204724409445,EMA,compare,1541,,30,6,3,50,-140.5,56.66333333333334,0.9708788171894431,0.5333333333333334,76.66666666666667,-9.912,47.77425429980299,27.038626609442062,无近期,,757,-3680,3064,2116,-476,-2624
103,002555.SZ,27.303149606299215,EMA,compare,3036,,14,5,3,60,-288.6666666666667,57.142857142857146,0.8257720551252389,0.4285714285714286,71.42857142857143,-9.927999999999999,36.65468417988485,31.330472103004293,无近期,,104,0,-2160,5081,-4964,207
104,601390.SH,27.125984251968504,EMA,compare,5643,,29,6,3,50,697.8333333333334,58.61379310344828,1.158586470721915,0.17241379310344818,58.620689655172406,-15.1001,19.515810135045548,54.077253218884124,无近期,,4044,-4188,7042,3760,-1626,-4845
105,000733.SZ,26.220472440944885,EMA,compare,7398,,20,5,3,60,502.8333333333333,55,1.116689228389093,0,50,-16.3005,48.625422964370564,32.61802575107296,无近期,,10520,-3430,0,1862,-6493,558
106,600926.SH,26.062992125984252,EMA,compare,16160,,28,6,4,66.66666666666666,-27.833333333333332,53.582142857142856,0.9925632347702174,0.17857142857142855,57.14285714285714,-20.8382,16.824149569556372,66.09442060085837,无近期,,3388,-10127,-3005,4521,134,4922
107,601618.SH,25.374015748031496,EMA,compare,730.5999999999985,,21,5,3,60,-1468.1166666666668,61.92380952380953,0.6902162827501318,0.3333333333333333,66.66666666666666,-17.824,20.475528716174672,46.3519313304721,无近期,,2624,-8912,1684.3,-5283,1078,0
108,000768.SZ,24.763779527559056,EMA,compare,5752,,20,5,2,40,207.33333333333334,60,1.0697739637668966,0.3999999999999999,70,-11.1341,30.635789888746352,41.63090128755365,无近期,,0,1975,-399,-1467,-786,1921
109,300496.SZ,23.248031496062993,EMA,compare,669,,10,5,3,60,-365,60.010000000000005,0.7664249146757679,0.2,60,-14.145900000000001,47.51878123677519,32.61802575107296,无近期,,969,-6496,2540,2196,-1399,0
