名次,标的,得分,建议均线,均线来源,Δ盈亏,白名单,跨年轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
67,601818.SH,47.73622047244094,EMA,compare,13844.460000000003,,30,5,2,40,1860.5266666666669,60.013333333333335,1.459071539781929,0.5,73.33333333333333,-9.960099999999999,17.292465379145934,74.2489270386266,无近期,,-612.12,-1001.19,431.11,12987.33,-641.97,0
68,601238.SH,47.204724409448815,SMA,compare,-2197.379999999999,,11,6,4,66.66666666666666,963.4933333333332,63.64545454545455,1.671122271406464,0,45.45454545454545,-7.9956,40.47947416133327,53.21888412017167,无近期,,209.49,963.68,-3997.78,9951.4,310.17,-1656
69,000858.SZ,46.41732283464567,EMA,compare,5555.890000000001,,19,5,3,60,1027.0083333333334,63.16842105263158,1.3818570421129994,0.2631578947368421,63.1578947368421,-9.7318,27.93582286762839,51.50214592274678,无近期,,-1300.86,2114.49,6261.64,486.76,-1399.98,0
70,601169.SH,44.960629921259844,SMA,compare,-6590.67,,27,5,3,60,2133.1116666666667,51.859259259259254,1.9875623656428385,0.1111111111111111,48.148148148148145,-7.7613,16.235928106076905,72.53218884120172,无近期,,-3841.54,-3730.47,9682.35,8515.31,2173.02,0
71,600406.SH,44.37007874015748,SMA,compare,-6980.419999999999,,23,6,3,50,2416.45,56.53043478260871,1.673264632513146,0.1739130434782608,56.52173913043478,-9.553799999999999,28.473918395853808,43.776824034334766,无近期,,4248.99,-4776.89,-2172.62,9913.55,-676.14,7961.81
72,601966.SH,43.89763779527559,SMA,compare,-5600.08,,19,5,3,60,440.165,68.42105263157895,1.1998879835911098,0.1578947368421053,57.89473684210527,-8.4037,23.802362721330596,63.94849785407726,无近期,,-4201.86,0,4798.05,2527.74,-548.69,65.75
73,601211.SH,42.04724409448819,SMA,compare,-3178.4900000000034,,25,6,3,50,2360.9483333333337,55.996,1.5399983379611208,0.16000000000000003,56.00000000000001,-15.223,26.382779883755003,37.76824034334764,无近期,,-1427.41,304.54,4404.23,17952.11,-534.07,-6533.71
74,000661.SZ,41.59448818897638,EMA,compare,12396.38,,20,5,2,40,667.5466666666667,64.99499999999999,1.2655934919886556,0.39999999999999997,70,-11.2857,50.05956609540391,32.18884120171674,无近期,,4389.46,-2464.7,-4848.95,-1090.02,8019.49,0
75,600150.SH,41.2992125984252,SMA,compare,-5141.460000000001,,19,5,4,80,925.7683333333334,52.642105263157895,1.296423088150302,0.05263157894736842,52.63157894736842,-11.7145,38.620535247703295,40.343347639484975,无近期,,0,5017.01,3199.37,44.76,2906.29,-5612.82
76,002648.SZ,40.11811023622048,SMA,compare,-7160.1,,22,6,4,66.66666666666666,-183.52833333333334,63.631818181818176,0.956152565515116,0.2727272727272727,63.63636363636363,-25.5492,39.21475691484582,28.75536480686695,无近期,,4163.65,-4018.73,-12067.87,1875.08,1144.7,7802
77,600809.SH,39.881889763779526,EMA,compare,3905.79,,28,5,3,60,309.8500000000001,64.28214285714287,1.0823652211513497,0.21428571428571425,60.71428571428571,-13.1416,40.56927370936314,32.61802575107296,无近期,,5135.7,-1672.45,527.67,-2688.41,556.59,0
78,600000.SH,39.80314960629921,EMA,compare,1767.8700000000026,,16,5,2,40,3200.53,50.00625000000001,2.0507234838847355,0,50,-18.4944,23.24309715086293,42.91845493562232,无近期,,-2753.34,-136.87,-9247.22,17975.6,13365.01,0
78,601006.SH,39.80314960629921,EMA,compare,310.5,,38,5,2,40,1544.2283333333332,63.15263157894737,1.3341998496611605,0.2368421052631579,55.26315789473685,-12.2809,19.505062388965516,64.8068669527897,无近期,,-5190.47,6352.64,13626.98,-904.97,-4618.81,0
80,601899.SH,39.251968503937015,EMA,compare,4218.4699999999975,,36,6,2,33.33333333333333,92.53166666666637,69.44166666666666,1.0152468764211815,0.44444444444444453,72.22222222222221,-19.026899999999998,46.05663950481051,26.609442060085836,无近期,,9757.73,-3260.36,6965.05,-9513.43,-289.24,-3104.56
81,600803.SH,39.094488188976385,SMA,compare,-1598.4799999999996,,37,6,3,50,1363.6000000000001,59.47837837837839,1.3262573004736586,0.18918918918918926,59.45945945945946,-10.0138,29.650790549181117,39.91416309012876,无近期,,-1272.44,1241.19,-169.33,2475.64,6137.45,-230.91
82,002271.SZ,38.70078740157481,EMA,compare,14573.259999999998,,17,5,3,60,-205.75333333333325,64.69999999999999,0.9403908692555618,0.2941176470588235,64.70588235294117,-11.575299999999999,45.31743509453987,30.90128755364807,无近期,,-1933.58,524.17,2676.64,-4388.44,1886.69,0
83,601628.SH,38.385826771653534,SMA,compare,-5209.860000000002,,19,5,2,40,1840.1483333333338,57.90526315789473,1.5272646435472117,0.26315789473684215,57.89473684210527,-15.2447,29.873053838984042,39.48497854077253,无近期,,-3822.12,-2632.25,2730.07,21086.72,-6321.53,0
84,600754.SH,37.83464566929134,EMA,compare,10114.43,,29,6,2,33.33333333333333,-27.4383333333334,65.51724137931035,0.9941788390208369,0.5862068965517242,79.3103448275862,-15.4761,33.02251919455988,38.62660944206009,无近期,,3211.64,-2399.25,2454.14,-105.6,-3213.26,-112.3
85,002415.SZ,37.26377952755906,EMA,compare,2078.890000000001,,23,5,3,60,-234.18166666666662,65.21739130434783,0.9327024210250033,0.2173913043478261,60.86956521739131,-11.9878,32.250839482966654,39.91416309012876,无近期,,0,481.66,-2101.91,-3884.9,1285.41,2814.65
86,600588.SH,35.90551181102362,EMA,compare,980.2400000000007,,30,6,3,50,-127.4883333333333,56.66333333333334,0.9734274839152088,0.5333333333333334,76.66666666666667,-9.7401,47.714790086662354,27.038626609442062,无近期,,761.73,-3597.75,3055.09,2116,-476,-2624
87,000983.SZ,34.76377952755905,SMA,compare,-4112.909999999996,,35,6,4,66.66666666666666,-775.9450000000003,59.991428571428564,0.8604900574140883,0.37142857142857144,68.57142857142857,-20.096,33.66560839988052,40.772532188841204,无近期,,3127.51,-4650.37,-9849.04,4017.12,2300.84,398.27
88,300059.SZ,33.12992125984252,EMA,compare,5987.58,,14,4,2,50,-240.59499999999994,64.29285714285716,0.9204765994390939,0.2857142857142857,64.28571428571429,-16.6078,26.417395001106403,44.20600858369099,无近期,,6267.92,-1640.13,-6648.48,0,577.12,0
89,601600.SH,33.11023622047244,EMA,compare,5779.5,,22,6,2,33.33333333333333,-388.15999999999985,68.2,0.9071240543259839,0.4545454545454545,72.72727272727273,-22.4281,45.5305750493147,28.32618025751073,无近期,,-160.08,-6120.15,8371.36,-2654.96,2243.72,-4008.85
