名次,标的,得分,建议均线,均线来源,建议复权,复权来源,Δ盈亏,白名单,跨年轮次,年最少轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2016,盈亏2017,盈亏2018,盈亏2019,盈亏2020,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
106,002007.SZ,53.34710743801653,SMA,compare,等比前复权,compare,-13450.469999999998,,35,0,8,6,75,1335.9027272727271,59.98285714285714,1.7994478098725066,0.2571428571428571,62.857142857142854,-3.9530999999999996,27.29751707888025,66.95278969957081,无近期,,5765.61,-2814.47,9683.05,899.02,70.34,-67.61,0,867.88,0,291.11,0
107,000858.SZ,53.23347107438017,EMA,compare,等比前复权,compare,7868.000000000002,,34,0,9,5,55.55555555555556,1161.9072727272728,67.65294117647058,1.4835763136905922,0.4117647058823529,70.58823529411765,-6.843000000000001,27.959450593806846,51.072961373390555,无近期,,8602.41,4993.7,-6842.97,0,-134.21,-1300.86,2114.49,6261.64,486.76,-1399.98,0
108,601658.SH,52.85123966942149,SMA,compare,前复权,compare,-13040,,30,0,5,3,60,2043.75,56.69333333333334,1.659753046566056,0.36666666666666664,66.66666666666666,-6.976,17.568604462425377,71.24463519313305,无近期,,,,,0,0,-6976,-2238,16581,4256,4727,0
109,002074.SZ,52.64462809917355,SMA,compare,等比前复权,compare,-15872.050000000001,,18,0,7,4,57.14285714285714,539.829090909091,72.21666666666665,1.3442991178745496,0.4444444444444445,72.22222222222221,-7.332800000000001,35.31245490725694,31.759656652360512,无近期,,-1525.86,-3260.17,0,0,4844.1,1807.91,-4454.76,0,4003.78,4523.12,0
110,000768.SZ,52.39669421487603,EMA,compare,前复权,compare,14903,,50,0,10,5,50,1680,64.006,1.4438253518420674,0.43999999999999995,72,-6.1306,30.15806969491032,41.63090128755365,无近期,,943,483,-3108,-766,19684,0,1975,-399,-1467,-786,1921
111,601995.SH,52.086776859504134,EMA,compare,等比前复权,compare,8366.740000000002,,25,0,4,3,75,219.19857142857148,71.984,1.0860594938363075,0.36,68,-5.827800000000001,34.998510094048015,63.0901287553648,无近期,,,,,,0,0,0,1037.83,909.96,1899.34,-2312.74
112,002532.SZ,52.04545454545454,SMA,compare,等比前复权,compare,-19136.18,,24,0,7,4,57.14285714285714,765.5536363636364,74.99166666666666,1.3352544936998627,0.33333333333333337,66.66666666666666,-7.056,51.97753186823141,17.59656652360515,无近期,,2590.49,-7055.99,0,-3704.7,12147.01,0,-4175.71,0,728.5,7891.49,0
113,601668.SH,51.962809917355365,EMA,compare,等比前复权,compare,10136.950000000004,,63,1,11,7,63.63636363636363,1235.4663636363637,68.23968253968255,1.244552329559094,0.3174603174603175,65.07936507936508,-8.5918,17.33069428322784,75.53648068669528,无近期,,16553.59,1988.08,-6389.82,806.62,-8094.63,-5824.55,3627.48,6714.79,3199.36,1663.21,-654
114,601600.SH,51.570247933884296,EMA,compare,前复权,compare,22052,,29,0,10,5,50,608.5909090909091,72.43103448275863,1.2459947086058647,0.5862068965517241,79.3103448275862,-7.7602,46.178161335049026,27.896995708154503,无近期,,1024,2106,0,4899,-2881,-178,-6805,6790,-2814,8627.5,-4074
115,600018.SH,51.36363636363637,SMA,compare,等比前复权,compare,-17532.790000000008,,46,0,10,5,50,2046.441818181819,63.05217391304348,1.6386912974754926,0.3260869565217392,65.21739130434783,-9.6081,14.620093999921494,78.96995708154506,无近期,,-1627.09,15186.12,-955.14,5827.14,2230.95,8386.93,544.89,-2043.53,-2314.74,-2724.67,0
116,002920.SZ,51.30165289256199,SMA,compare,等比前复权,compare,-16409.73,,14,0,6,3,50,1219.701,71.4357142857143,1.7043991850067106,0.28571428571428575,64.28571428571429,-5.3253,44.203937397215114,28.75536480686695,无近期,,,0,0,1286.84,0,9388.47,-2545.01,-1526.49,0,9679.92,-4086.72
117,000333.SZ,51.09504132231405,EMA,compare,前复权,compare,5295,,37,0,8,4,50,1020,70.27837837837838,1.3123086344151869,0.45945945945945943,72.97297297297297,-6.3496,19.935782659916214,60.94420600858369,无近期,,0,0,-3365,4512,0,-3983,-2941,6061,8221,-462,3177
118,600089.SH,50.72314049586778,EMA,compare,等比前复权,compare,18639.65,,33,0,9,5,55.55555555555556,885.3845454545454,69.68787878787879,1.3346326858217223,0.3939393939393939,66.66666666666666,-6.8123000000000005,38.27494690826038,24.463519313304722,无近期,,-346.34,5439.56,-3890.06,4056.28,7953.2,0,378.92,-3254.11,-3218.65,2620.43,0
119,600926.SH,50.72314049586777,EMA,compare,前复权,compare,14163,,36,0,8,6,75,1600.7272727272727,55.5611111111111,1.67167652107572,0.19444444444444448,58.333333333333336,-10.4574,17.231010138770234,66.09442060085837,无近期,,0,0,0,5298,12753,3388,-10127,-3005,4521,134,4646
120,000786.SZ,50.650826446280995,EMA,compare,前复权,compare,8974,,32,0,9,6,66.66666666666666,1315.8181818181818,62.496874999999996,1.4514519197779234,0.3125,65.625,-11.376999999999999,44.20885861279712,40.772532188841204,无近期,,12463,3469,0,-6617,0,-3015,170,-3089,10029,668,396
121,603288.SH,50.45454545454545,EMA,compare,等比前复权,compare,19759,,34,0,10,7,70,1596.701818181818,58.81764705882353,1.7809124247263826,0.17647058823529416,58.82352941176471,-4.5493,26.43397771210602,55.793991416309005,无近期,,-1425.06,7960.77,3241.89,7086.18,-282.75,115.44,963.08,79.44,0,-1768.74,1593.47
122,600873.SH,50.04132231404959,SMA,compare,等比前复权,compare,-11663.429999999998,,57,0,10,5,50,1717.7299999999998,64.9140350877193,1.4390584575374563,0.3508771929824561,64.91228070175438,-9.3773,22.19665310641038,42.06008583690987,无近期,,0,-1779.47,-590.69,6812.71,-3921.73,15142.36,-4007.42,-1041.43,1184.33,2968.66,4127.71
123,002252.SZ,49.45247933884298,SMA,compare,等比前复权,compare,-2449.630000000001,,29,0,7,3,42.857142857142854,1713.1436363636365,65.51379310344826,1.6689921866929183,0.34482758620689646,65.51724137931035,-5.4368,32.46963252677159,63.519313304721024,无近期,,-244.27,-2708.06,0,-3045.53,17144.24,0,700.15,12089.98,-5091.93,0,0
124,601985.SH,49.31818181818181,SMA,compare,等比前复权,compare,-2197.9800000000014,,40,0,9,5,55.55555555555556,1149.627272727273,67.495,1.5996892934270766,0.3,62.5,-4.1195,14.663035528401409,68.24034334763948,无近期,,0,4490.81,-590.46,1097.36,2478.9,820.44,0,7207.39,-2298.35,-196.47,-363.72
125,600029.SH,49.07024793388429,SMA,compare,等比前复权,compare,-9923.87,,46,0,10,4,40,1134.340909090909,69.55652173913045,1.3104075430693498,0.5652173913043478,78.26086956521739,-6.949,17.226422106789954,44.63519313304721,无近期,,3525.5,5118.63,-4757.27,-1322.11,-2020,15222,-4038,-2130,4339,-1460,0
126,000877.SZ,48.71900826446281,EMA,compare,等比前复权,compare,29098.160000000003,,44,0,10,5,50,2774.0281818181825,54.556818181818194,1.6131918709999205,0.3181818181818181,65.9090909090909,-11.8971,24.657467554909257,40.343347639484975,无近期,,2078.57,37467.46,-5477.23,3575.44,-11022.22,-6256.49,-2853.2,-2515.02,4,15513,0
127,601117.SH,48.65702479338843,EMA,compare,等比前复权,compare,21832.74,,52,3,11,5,45.45454545454545,1247.0836363636363,69.23461538461537,1.3480457389266236,0.3846153846153846,69.23076923076923,-4.8117,20.640449885997512,51.931330472103,无近期,,3643.53,-51.16,-3421.18,814.59,-408.15,3249.69,-2522.05,5444.45,-783.39,-180.92,7932.51
128,601872.SH,48.59504132231405,SMA,compare,前复权,compare,-20967,,25,0,8,4,50,968.9854545454546,67.988,1.434741147914953,0.44,72,-6.4718,60.432644111623326,24.892703862660944,无近期,,8965.84,-4130,1116.67,2981.67,-3118.34,-2002,0,-1816,8661,0,0
129,600585.SH,48.40909090909091,SMA,compare,等比前复权,compare,-7298.609999999997,,33,0,9,4,44.44444444444444,1572.0345454545452,63.63636363636363,1.590521000735574,0.3939393939393939,69.6969696969697,-8.2119,21.620323032319824,49.78540772532189,无近期,,2785.56,11285.97,-3034.74,15528.65,3064.48,0,-2658.47,0,-2800.83,-3921.62,-2956.62
130,002602.SZ,47.87190082644628,SMA,compare,前复权,compare,-16943.29,,15,0,5,3,60,1002.2681818181819,66.68666666666667,1.717520264751535,0.2,60,-7.5105,49.04528809872891,37.33905579399141,无近期,,7677.08,-3206.7,-4773.43,0,0,1296,0,10032,0,0,0
131,000800.SZ,47.61363636363636,SMA,compare,等比前复权,compare,-670.2000000000035,,43,0,10,7,70,442.4272727272728,67.44883720930233,1.1201908650793515,0.3488372093023256,67.44186046511628,-5.479,19.9182581210929,66.52360515021459,无近期,,-3508.84,754.62,-5478.99,1270.62,8123.11,866.44,-2340.86,3906.27,1213.17,61.16,0
